"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 19 15:24:03 GMT 2024","Wed Jun 19 15:24:06 GMT 2024","2086","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","deleteArticle","deleteArticle",""
"passed","Wed Jun 19 15:24:04 GMT 2024","Wed Jun 19 15:24:05 GMT 2024","1079","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.AuthorDetailTests","com.realworld.seleniumrealworldapp.AuthorDetailTests","displayFavoritedArticles","displayFavoritedArticles",""
"passed","Wed Jun 19 15:24:11 GMT 2024","Wed Jun 19 15:24:12 GMT 2024","834","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","likeArticle","likeArticle",""
"passed","Wed Jun 19 15:24:25 GMT 2024","Wed Jun 19 15:24:26 GMT 2024","1017","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserDetailsTests","com.realworld.seleniumrealworldapp.UserDetailsTests","displayExpectedUserArticles","displayExpectedUserArticles",""
"passed","Wed Jun 19 15:24:08 GMT 2024","Wed Jun 19 15:24:09 GMT 2024","889","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","followAuthor","followAuthor",""
"passed","Wed Jun 19 15:24:17 GMT 2024","Wed Jun 19 15:24:18 GMT 2024","504","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.SignUpTests","com.realworld.seleniumrealworldapp.SignUpTests","registerWithExistingEmail","registerWithExistingEmail",""
"passed","Wed Jun 19 15:24:51 GMT 2024","Wed Jun 19 15:24:51 GMT 2024","92","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserDetailsTests","com.realworld.seleniumrealworldapp.UserDetailsTests","shouldNavigateToSettingsPage","shouldNavigateToSettingsPage",""
"broken","Wed Jun 19 15:24:58 GMT 2024","Wed Jun 19 15:25:08 GMT 2024","10141","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserSettingsTests","com.realworld.seleniumrealworldapp.UserSettingsTests","updateEmail","updateEmail",""
"passed","Wed Jun 19 15:25:32 GMT 2024","Wed Jun 19 15:25:32 GMT 2024","216","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserSettingsTests","com.realworld.seleniumrealworldapp.UserSettingsTests","updateProfilePicture","updateProfilePicture",""
"broken","Wed Jun 19 15:24:35 GMT 2024","Wed Jun 19 15:24:45 GMT 2024","10176","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserSettingsTests","com.realworld.seleniumrealworldapp.UserSettingsTests","updateBio","updateBio",""
"broken","Wed Jun 19 15:24:28 GMT 2024","Wed Jun 19 15:24:39 GMT 2024","10935","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.NewArticleTests","com.realworld.seleniumrealworldapp.NewArticleTests","testCreateNewArticle","testCreateNewArticle",""
"broken","Wed Jun 19 15:24:52 GMT 2024","Wed Jun 19 15:25:03 GMT 2024","11208","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.NewArticleTests","com.realworld.seleniumrealworldapp.NewArticleTests","updateArticle","updateArticle",""
"passed","Wed Jun 19 15:24:11 GMT 2024","Wed Jun 19 15:24:11 GMT 2024","479","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.LogoutTests","com.realworld.seleniumrealworldapp.LogoutTests","logout","logout",""
"passed","Wed Jun 19 15:23:57 GMT 2024","Wed Jun 19 15:23:58 GMT 2024","1445","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.GlobalFeedTests","com.realworld.seleniumrealworldapp.GlobalFeedTests","displayExpectedArticles","displayExpectedArticles",""
