"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 19 10:24:16 GMT 2024","Wed Jun 19 10:24:16 GMT 2024","85","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserDetailsTests","com.realworld.seleniumrealworldapp.UserDetailsTests","shouldNavigateToSettingsPage","shouldNavigateToSettingsPage",""
"broken","Wed Jun 19 10:24:04 GMT 2024","Wed Jun 19 10:24:16 GMT 2024","11885","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserDetailsTests","com.realworld.seleniumrealworldapp.UserDetailsTests","displayFavoritedArticles","displayFavoritedArticles",""
"passed","Wed Jun 19 10:24:04 GMT 2024","Wed Jun 19 10:24:06 GMT 2024","1797","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.TagsTests","com.realworld.seleniumrealworldapp.TagsTests","filterArticlesByTag","filterArticlesByTag",""
"broken","Wed Jun 19 10:23:40 GMT 2024","Wed Jun 19 10:23:51 GMT 2024","10729","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.GlobalFeedTests","com.realworld.seleniumrealworldapp.GlobalFeedTests","likeAnArticle","likeAnArticle",""
"passed","Wed Jun 19 10:23:52 GMT 2024","Wed Jun 19 10:23:53 GMT 2024","1354","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","likeArticle","likeArticle",""
"passed","Wed Jun 19 10:23:59 GMT 2024","Wed Jun 19 10:24:01 GMT 2024","2006","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserDetailsTests","com.realworld.seleniumrealworldapp.UserDetailsTests","displayExpectedUserArticles","displayExpectedUserArticles",""
"passed","Wed Jun 19 10:24:00 GMT 2024","Wed Jun 19 10:24:02 GMT 2024","1841","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.NewArticleTests","com.realworld.seleniumrealworldapp.NewArticleTests","updateArticle","updateArticle",""
"passed","Wed Jun 19 10:23:49 GMT 2024","Wed Jun 19 10:23:50 GMT 2024","421","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.LogoutTests","com.realworld.seleniumrealworldapp.LogoutTests","logout","logout",""
"broken","Wed Jun 19 10:24:10 GMT 2024","Wed Jun 19 10:24:20 GMT 2024","10175","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserSettingsTests","com.realworld.seleniumrealworldapp.UserSettingsTests","updateBio","updateBio",""
"passed","Wed Jun 19 10:23:35 GMT 2024","Wed Jun 19 10:23:37 GMT 2024","2071","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.AuthorDetailTests","com.realworld.seleniumrealworldapp.AuthorDetailTests","displayAuthorArticles","displayAuthorArticles",""
"passed","Wed Jun 19 10:23:42 GMT 2024","Wed Jun 19 10:23:43 GMT 2024","1195","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.AuthorDetailTests","com.realworld.seleniumrealworldapp.AuthorDetailTests","displayFavoritedArticles","displayFavoritedArticles",""
"passed","Wed Jun 19 10:23:45 GMT 2024","Wed Jun 19 10:23:46 GMT 2024","1367","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","deleteComment","deleteComment",""
"passed","Wed Jun 19 10:23:54 GMT 2024","Wed Jun 19 10:23:56 GMT 2024","2182","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.NewArticleTests","com.realworld.seleniumrealworldapp.NewArticleTests","testCreateNewArticle","testCreateNewArticle",""
