"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Jun 22 19:50:50 GMT 2024","Sat Jun 22 19:50:50 GMT 2024","0","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.LogoutTests","com.realworld.seleniumrealworldapp.LogoutTests","logout","logout",""
"skipped","Sat Jun 22 19:50:53 GMT 2024","Sat Jun 22 19:50:53 GMT 2024","1","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserSettingsTests","com.realworld.seleniumrealworldapp.UserSettingsTests","updateAllFields","updateAllFields",""
"skipped","Sat Jun 22 19:50:50 GMT 2024","Sat Jun 22 19:50:50 GMT 2024","0","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.NewArticleTests","com.realworld.seleniumrealworldapp.NewArticleTests","updateArticle","updateArticle",""
"skipped","Sat Jun 22 19:50:53 GMT 2024","Sat Jun 22 19:50:53 GMT 2024","0","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserSettingsTests","com.realworld.seleniumrealworldapp.UserSettingsTests","updateUsername","updateUsername",""
"skipped","Sat Jun 22 19:50:53 GMT 2024","Sat Jun 22 19:50:53 GMT 2024","0","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserSettingsTests","com.realworld.seleniumrealworldapp.UserSettingsTests","updateProfilePicture","updateProfilePicture",""
"skipped","Sat Jun 22 19:51:04 GMT 2024","Sat Jun 22 19:51:04 GMT 2024","0","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.AuthorDetailTests","com.realworld.seleniumrealworldapp.AuthorDetailTests","displayFavoritedArticles","displayFavoritedArticles",""
"broken","Sat Jun 22 19:51:03 GMT 2024","Sat Jun 22 19:51:03 GMT 2024","2","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","springTestContextPrepareTestInstance","springTestContextPrepareTestInstance",""
"skipped","Sat Jun 22 19:50:53 GMT 2024","Sat Jun 22 19:50:53 GMT 2024","0","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserSettingsTests","com.realworld.seleniumrealworldapp.UserSettingsTests","updateEmail","updateEmail",""
"skipped","Sat Jun 22 19:50:50 GMT 2024","Sat Jun 22 19:50:50 GMT 2024","0","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.NewArticleTests","com.realworld.seleniumrealworldapp.NewArticleTests","testCreateNewArticle","testCreateNewArticle",""
"skipped","Sat Jun 22 19:51:04 GMT 2024","Sat Jun 22 19:51:04 GMT 2024","1","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","deleteComment","deleteComment",""
"skipped","Sat Jun 22 19:50:51 GMT 2024","Sat Jun 22 19:50:51 GMT 2024","0","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserDetailsTests","com.realworld.seleniumrealworldapp.UserDetailsTests","displayFavoritedArticles","displayFavoritedArticles",""
"skipped","Sat Jun 22 19:50:51 GMT 2024","Sat Jun 22 19:50:51 GMT 2024","0","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.SignUpTests","com.realworld.seleniumrealworldapp.SignUpTests","registerWithExistingEmail","registerWithExistingEmail",""
