"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Jun 23 11:41:53 GMT 2024","Sun Jun 23 11:41:53 GMT 2024","0","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserDetailsTests","com.realworld.seleniumrealworldapp.UserDetailsTests","shouldNavigateToSettingsPage","shouldNavigateToSettingsPage",""
"skipped","Sun Jun 23 11:42:00 GMT 2024","Sun Jun 23 11:42:00 GMT 2024","0","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserSettingsTests","com.realworld.seleniumrealworldapp.UserSettingsTests","updateBio","updateBio",""
"skipped","Sun Jun 23 11:41:53 GMT 2024","Sun Jun 23 11:41:53 GMT 2024","1","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.LogoutTests","com.realworld.seleniumrealworldapp.LogoutTests","logout","logout",""
"broken","Sun Jun 23 11:41:59 GMT 2024","Sun Jun 23 11:41:59 GMT 2024","1","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","springTestContextPrepareTestInstance","springTestContextPrepareTestInstance",""
"skipped","Sun Jun 23 11:41:53 GMT 2024","Sun Jun 23 11:41:53 GMT 2024","1","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.TagsTests","com.realworld.seleniumrealworldapp.TagsTests","displayPopularTags","displayPopularTags",""
"broken","Sun Jun 23 11:41:53 GMT 2024","Sun Jun 23 11:41:53 GMT 2024","0","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserDetailsTests","com.realworld.seleniumrealworldapp.UserDetailsTests","springTestContextPrepareTestInstance","springTestContextPrepareTestInstance",""
"skipped","Sun Jun 23 11:42:00 GMT 2024","Sun Jun 23 11:42:00 GMT 2024","1","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.AuthorDetailTests","com.realworld.seleniumrealworldapp.AuthorDetailTests","displayAuthorArticles","displayAuthorArticles",""
"skipped","Sun Jun 23 11:41:53 GMT 2024","Sun Jun 23 11:41:53 GMT 2024","1","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.TagsTests","com.realworld.seleniumrealworldapp.TagsTests","filterArticlesByTag","filterArticlesByTag",""
"skipped","Sun Jun 23 11:42:00 GMT 2024","Sun Jun 23 11:42:00 GMT 2024","1","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserSettingsTests","com.realworld.seleniumrealworldapp.UserSettingsTests","updateAllFields","updateAllFields",""
"skipped","Sun Jun 23 11:42:00 GMT 2024","Sun Jun 23 11:42:00 GMT 2024","0","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.AuthorDetailTests","com.realworld.seleniumrealworldapp.AuthorDetailTests","displayFavoritedArticles","displayFavoritedArticles",""
"skipped","Sun Jun 23 11:41:53 GMT 2024","Sun Jun 23 11:41:53 GMT 2024","1","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.GlobalFeedTests","com.realworld.seleniumrealworldapp.GlobalFeedTests","displayExpectedArticles","displayExpectedArticles",""
"broken","Sun Jun 23 11:41:53 GMT 2024","Sun Jun 23 11:41:53 GMT 2024","0","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.LogoutTests","com.realworld.seleniumrealworldapp.LogoutTests","springTestContextPrepareTestInstance","springTestContextPrepareTestInstance",""
"skipped","Sun Jun 23 11:42:00 GMT 2024","Sun Jun 23 11:42:00 GMT 2024","1","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserSettingsTests","com.realworld.seleniumrealworldapp.UserSettingsTests","updateProfilePicture","updateProfilePicture",""
"skipped","Sun Jun 23 11:42:00 GMT 2024","Sun Jun 23 11:42:00 GMT 2024","1","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","addComment","addComment",""
"skipped","Sun Jun 23 11:42:00 GMT 2024","Sun Jun 23 11:42:00 GMT 2024","1","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.AuthorDetailTests","com.realworld.seleniumrealworldapp.AuthorDetailTests","followAuthor","followAuthor",""
"skipped","Sun Jun 23 11:42:00 GMT 2024","Sun Jun 23 11:42:00 GMT 2024","0","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","likeArticle","likeArticle",""
"skipped","Sun Jun 23 11:42:00 GMT 2024","Sun Jun 23 11:42:00 GMT 2024","1","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","deleteArticle","deleteArticle",""
"broken","Sun Jun 23 11:41:52 GMT 2024","Sun Jun 23 11:41:52 GMT 2024","4","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.GlobalFeedTests","com.realworld.seleniumrealworldapp.GlobalFeedTests","springTestContextPrepareTestInstance","springTestContextPrepareTestInstance",""
"broken","Sun Jun 23 11:41:53 GMT 2024","Sun Jun 23 11:41:53 GMT 2024","0","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.NewArticleTests","com.realworld.seleniumrealworldapp.NewArticleTests","springTestContextPrepareTestInstance","springTestContextPrepareTestInstance",""
"skipped","Sun Jun 23 11:42:00 GMT 2024","Sun Jun 23 11:42:00 GMT 2024","0","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserSettingsTests","com.realworld.seleniumrealworldapp.UserSettingsTests","updatePassword","updatePassword",""
"skipped","Sun Jun 23 11:41:53 GMT 2024","Sun Jun 23 11:41:53 GMT 2024","0","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.NewArticleTests","com.realworld.seleniumrealworldapp.NewArticleTests","updateArticle","updateArticle",""
"skipped","Sun Jun 23 11:41:53 GMT 2024","Sun Jun 23 11:41:53 GMT 2024","1","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.NewArticleTests","com.realworld.seleniumrealworldapp.NewArticleTests","testCreateNewArticle","testCreateNewArticle",""
"skipped","Sun Jun 23 11:41:53 GMT 2024","Sun Jun 23 11:41:53 GMT 2024","1","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.SignUpTests","com.realworld.seleniumrealworldapp.SignUpTests","registerValidNewUser","registerValidNewUser",""
"skipped","Sun Jun 23 11:42:00 GMT 2024","Sun Jun 23 11:42:00 GMT 2024","0","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserSettingsTests","com.realworld.seleniumrealworldapp.UserSettingsTests","updateEmail","updateEmail",""
"broken","Sun Jun 23 11:41:52 GMT 2024","Sun Jun 23 11:41:52 GMT 2024","2","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.TagsTests","com.realworld.seleniumrealworldapp.TagsTests","springTestContextPrepareTestInstance","springTestContextPrepareTestInstance",""
"broken","Sun Jun 23 11:42:00 GMT 2024","Sun Jun 23 11:42:00 GMT 2024","0","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.AuthorDetailTests","com.realworld.seleniumrealworldapp.AuthorDetailTests","springTestContextPrepareTestInstance","springTestContextPrepareTestInstance",""
"broken","Sun Jun 23 11:41:53 GMT 2024","Sun Jun 23 11:41:53 GMT 2024","1","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.SignUpTests","com.realworld.seleniumrealworldapp.SignUpTests","springTestContextPrepareTestInstance","springTestContextPrepareTestInstance",""
"skipped","Sun Jun 23 11:41:53 GMT 2024","Sun Jun 23 11:41:53 GMT 2024","0","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.SignUpTests","com.realworld.seleniumrealworldapp.SignUpTests","registerWithExistingEmail","registerWithExistingEmail",""
"broken","Sun Jun 23 11:41:59 GMT 2024","Sun Jun 23 11:41:59 GMT 2024","2","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserSettingsTests","com.realworld.seleniumrealworldapp.UserSettingsTests","springTestContextPrepareTestInstance","springTestContextPrepareTestInstance",""
"skipped","Sun Jun 23 11:41:53 GMT 2024","Sun Jun 23 11:41:53 GMT 2024","0","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.GlobalFeedTests","com.realworld.seleniumrealworldapp.GlobalFeedTests","likeAnArticle","likeAnArticle",""
"skipped","Sun Jun 23 11:41:53 GMT 2024","Sun Jun 23 11:41:53 GMT 2024","0","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserDetailsTests","com.realworld.seleniumrealworldapp.UserDetailsTests","displayExpectedUserArticles","displayExpectedUserArticles",""
"skipped","Sun Jun 23 11:42:00 GMT 2024","Sun Jun 23 11:42:00 GMT 2024","0","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","deleteComment","deleteComment",""
"skipped","Sun Jun 23 11:41:53 GMT 2024","Sun Jun 23 11:41:53 GMT 2024","1","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserDetailsTests","com.realworld.seleniumrealworldapp.UserDetailsTests","displayFavoritedArticles","displayFavoritedArticles",""
"skipped","Sun Jun 23 11:42:00 GMT 2024","Sun Jun 23 11:42:00 GMT 2024","0","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserSettingsTests","com.realworld.seleniumrealworldapp.UserSettingsTests","updateUsername","updateUsername",""
"skipped","Sun Jun 23 11:42:00 GMT 2024","Sun Jun 23 11:42:00 GMT 2024","0","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","followAuthor","followAuthor",""
