"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 25 21:17:23 GMT 2024","Tue Jun 25 21:17:23 GMT 2024","337","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.TagsTests","com.realworld.seleniumrealworldapp.TagsTests","displayPopularTags","displayPopularTags",""
"passed","Tue Jun 25 21:17:35 GMT 2024","Tue Jun 25 21:17:37 GMT 2024","1233","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserDetailsTests","com.realworld.seleniumrealworldapp.UserDetailsTests","displayFavoritedArticles","displayFavoritedArticles",""
"passed","Tue Jun 25 21:17:28 GMT 2024","Tue Jun 25 21:17:29 GMT 2024","626","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.SignUpTests","com.realworld.seleniumrealworldapp.SignUpTests","registerValidNewUser","registerValidNewUser",""
"passed","Tue Jun 25 21:17:38 GMT 2024","Tue Jun 25 21:17:38 GMT 2024","142","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserDetailsTests","com.realworld.seleniumrealworldapp.UserDetailsTests","shouldNavigateToSettingsPage","shouldNavigateToSettingsPage",""
"passed","Tue Jun 25 21:17:30 GMT 2024","Tue Jun 25 21:17:31 GMT 2024","859","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.SignUpTests","com.realworld.seleniumrealworldapp.SignUpTests","registerWithExistingEmail","registerWithExistingEmail",""
"passed","Tue Jun 25 21:17:33 GMT 2024","Tue Jun 25 21:17:34 GMT 2024","1185","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserDetailsTests","com.realworld.seleniumrealworldapp.UserDetailsTests","displayExpectedUserArticles","displayExpectedUserArticles",""
"passed","Tue Jun 25 21:17:25 GMT 2024","Tue Jun 25 21:17:26 GMT 2024","1317","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.TagsTests","com.realworld.seleniumrealworldapp.TagsTests","filterArticlesByTag","filterArticlesByTag",""
