"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Jun 23 17:24:11 GMT 2024","Sun Jun 23 17:24:11 GMT 2024","0","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","followAuthor","followAuthor",""
"skipped","Sun Jun 23 17:24:02 GMT 2024","Sun Jun 23 17:24:02 GMT 2024","1","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.TagsTests","com.realworld.seleniumrealworldapp.TagsTests","displayPopularTags","displayPopularTags",""
"skipped","Sun Jun 23 17:24:02 GMT 2024","Sun Jun 23 17:24:02 GMT 2024","0","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.SignUpTests","com.realworld.seleniumrealworldapp.SignUpTests","registerWithExistingEmail","registerWithExistingEmail",""
"skipped","Sun Jun 23 17:23:59 GMT 2024","Sun Jun 23 17:23:59 GMT 2024","1","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.LogoutTests","com.realworld.seleniumrealworldapp.LogoutTests","logout","logout",""
"skipped","Sun Jun 23 17:24:11 GMT 2024","Sun Jun 23 17:24:11 GMT 2024","1","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","addComment","addComment",""
"skipped","Sun Jun 23 17:24:11 GMT 2024","Sun Jun 23 17:24:11 GMT 2024","0","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","likeArticle","likeArticle",""
"broken","Sun Jun 23 17:24:02 GMT 2024","Sun Jun 23 17:24:02 GMT 2024","0","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.SignUpTests","com.realworld.seleniumrealworldapp.SignUpTests","springTestContextPrepareTestInstance","springTestContextPrepareTestInstance",""
"skipped","Sun Jun 23 17:24:11 GMT 2024","Sun Jun 23 17:24:11 GMT 2024","0","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.AuthorDetailTests","com.realworld.seleniumrealworldapp.AuthorDetailTests","displayAuthorArticles","displayAuthorArticles",""
"skipped","Sun Jun 23 17:24:03 GMT 2024","Sun Jun 23 17:24:03 GMT 2024","0","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserSettingsTests","com.realworld.seleniumrealworldapp.UserSettingsTests","updateEmail","updateEmail",""
"skipped","Sun Jun 23 17:23:59 GMT 2024","Sun Jun 23 17:23:59 GMT 2024","0","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.GlobalFeedTests","com.realworld.seleniumrealworldapp.GlobalFeedTests","likeAnArticle","likeAnArticle",""
"skipped","Sun Jun 23 17:24:03 GMT 2024","Sun Jun 23 17:24:03 GMT 2024","1","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserSettingsTests","com.realworld.seleniumrealworldapp.UserSettingsTests","updateBio","updateBio",""
"skipped","Sun Jun 23 17:24:02 GMT 2024","Sun Jun 23 17:24:02 GMT 2024","1","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.SignUpTests","com.realworld.seleniumrealworldapp.SignUpTests","registerValidNewUser","registerValidNewUser",""
"skipped","Sun Jun 23 17:23:59 GMT 2024","Sun Jun 23 17:23:59 GMT 2024","2","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.GlobalFeedTests","com.realworld.seleniumrealworldapp.GlobalFeedTests","displayExpectedArticles","displayExpectedArticles",""
"broken","Sun Jun 23 17:24:01 GMT 2024","Sun Jun 23 17:24:01 GMT 2024","3","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.TagsTests","com.realworld.seleniumrealworldapp.TagsTests","springTestContextPrepareTestInstance","springTestContextPrepareTestInstance",""
"skipped","Sun Jun 23 17:24:02 GMT 2024","Sun Jun 23 17:24:02 GMT 2024","2","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserDetailsTests","com.realworld.seleniumrealworldapp.UserDetailsTests","displayFavoritedArticles","displayFavoritedArticles",""
"broken","Sun Jun 23 17:23:59 GMT 2024","Sun Jun 23 17:23:59 GMT 2024","0","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.LogoutTests","com.realworld.seleniumrealworldapp.LogoutTests","springTestContextPrepareTestInstance","springTestContextPrepareTestInstance",""
"skipped","Sun Jun 23 17:24:11 GMT 2024","Sun Jun 23 17:24:11 GMT 2024","1","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.AuthorDetailTests","com.realworld.seleniumrealworldapp.AuthorDetailTests","displayFavoritedArticles","displayFavoritedArticles",""
"skipped","Sun Jun 23 17:24:02 GMT 2024","Sun Jun 23 17:24:02 GMT 2024","0","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.TagsTests","com.realworld.seleniumrealworldapp.TagsTests","filterArticlesByTag","filterArticlesByTag",""
"skipped","Sun Jun 23 17:24:02 GMT 2024","Sun Jun 23 17:24:02 GMT 2024","0","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserDetailsTests","com.realworld.seleniumrealworldapp.UserDetailsTests","displayExpectedUserArticles","displayExpectedUserArticles",""
"skipped","Sun Jun 23 17:24:11 GMT 2024","Sun Jun 23 17:24:11 GMT 2024","0","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","deleteArticle","deleteArticle",""
"broken","Sun Jun 23 17:23:59 GMT 2024","Sun Jun 23 17:23:59 GMT 2024","0","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.NewArticleTests","com.realworld.seleniumrealworldapp.NewArticleTests","springTestContextPrepareTestInstance","springTestContextPrepareTestInstance",""
"skipped","Sun Jun 23 17:24:03 GMT 2024","Sun Jun 23 17:24:03 GMT 2024","1","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserSettingsTests","com.realworld.seleniumrealworldapp.UserSettingsTests","updatePassword","updatePassword",""
"skipped","Sun Jun 23 17:24:11 GMT 2024","Sun Jun 23 17:24:11 GMT 2024","0","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","deleteComment","deleteComment",""
"skipped","Sun Jun 23 17:24:11 GMT 2024","Sun Jun 23 17:24:11 GMT 2024","0","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.AuthorDetailTests","com.realworld.seleniumrealworldapp.AuthorDetailTests","followAuthor","followAuthor",""
"broken","Sun Jun 23 17:24:11 GMT 2024","Sun Jun 23 17:24:11 GMT 2024","0","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.AuthorDetailTests","com.realworld.seleniumrealworldapp.AuthorDetailTests","springTestContextPrepareTestInstance","springTestContextPrepareTestInstance",""
"skipped","Sun Jun 23 17:24:03 GMT 2024","Sun Jun 23 17:24:03 GMT 2024","1","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserSettingsTests","com.realworld.seleniumrealworldapp.UserSettingsTests","updateAllFields","updateAllFields",""
"skipped","Sun Jun 23 17:23:59 GMT 2024","Sun Jun 23 17:23:59 GMT 2024","0","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.NewArticleTests","com.realworld.seleniumrealworldapp.NewArticleTests","testCreateNewArticle","testCreateNewArticle",""
"broken","Sun Jun 23 17:23:57 GMT 2024","Sun Jun 23 17:23:57 GMT 2024","2","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.GlobalFeedTests","com.realworld.seleniumrealworldapp.GlobalFeedTests","springTestContextPrepareTestInstance","springTestContextPrepareTestInstance",""
"skipped","Sun Jun 23 17:24:02 GMT 2024","Sun Jun 23 17:24:02 GMT 2024","2","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserDetailsTests","com.realworld.seleniumrealworldapp.UserDetailsTests","shouldNavigateToSettingsPage","shouldNavigateToSettingsPage",""
"skipped","Sun Jun 23 17:24:03 GMT 2024","Sun Jun 23 17:24:03 GMT 2024","1","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserSettingsTests","com.realworld.seleniumrealworldapp.UserSettingsTests","updateProfilePicture","updateProfilePicture",""
"skipped","Sun Jun 23 17:23:59 GMT 2024","Sun Jun 23 17:23:59 GMT 2024","1","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.NewArticleTests","com.realworld.seleniumrealworldapp.NewArticleTests","updateArticle","updateArticle",""
"broken","Sun Jun 23 17:24:10 GMT 2024","Sun Jun 23 17:24:10 GMT 2024","3","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","springTestContextPrepareTestInstance","springTestContextPrepareTestInstance",""
"skipped","Sun Jun 23 17:24:03 GMT 2024","Sun Jun 23 17:24:03 GMT 2024","0","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserSettingsTests","com.realworld.seleniumrealworldapp.UserSettingsTests","updateUsername","updateUsername",""
"broken","Sun Jun 23 17:24:02 GMT 2024","Sun Jun 23 17:24:02 GMT 2024","0","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserDetailsTests","com.realworld.seleniumrealworldapp.UserDetailsTests","springTestContextPrepareTestInstance","springTestContextPrepareTestInstance",""
"broken","Sun Jun 23 17:24:02 GMT 2024","Sun Jun 23 17:24:02 GMT 2024","2","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserSettingsTests","com.realworld.seleniumrealworldapp.UserSettingsTests","springTestContextPrepareTestInstance","springTestContextPrepareTestInstance",""
