"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jun 19 10:46:53 GMT 2024","Wed Jun 19 10:47:05 GMT 2024","11936","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.NewArticleTests","com.realworld.seleniumrealworldapp.NewArticleTests","updateArticle","updateArticle",""
"passed","Wed Jun 19 10:46:47 GMT 2024","Wed Jun 19 10:46:49 GMT 2024","1346","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.SignUpTests","com.realworld.seleniumrealworldapp.SignUpTests","registerValidNewUser","registerValidNewUser",""
"passed","Wed Jun 19 10:46:40 GMT 2024","Wed Jun 19 10:46:41 GMT 2024","818","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.AuthorDetailTests","com.realworld.seleniumrealworldapp.AuthorDetailTests","followAuthor","followAuthor",""
"passed","Wed Jun 19 10:47:04 GMT 2024","Wed Jun 19 10:47:04 GMT 2024","142","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserDetailsTests","com.realworld.seleniumrealworldapp.UserDetailsTests","shouldNavigateToSettingsPage","shouldNavigateToSettingsPage",""
"passed","Wed Jun 19 10:46:47 GMT 2024","Wed Jun 19 10:46:50 GMT 2024","2203","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.NewArticleTests","com.realworld.seleniumrealworldapp.NewArticleTests","testCreateNewArticle","testCreateNewArticle",""
"broken","Wed Jun 19 10:46:35 GMT 2024","Wed Jun 19 10:46:46 GMT 2024","10684","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.GlobalFeedTests","com.realworld.seleniumrealworldapp.GlobalFeedTests","likeAnArticle","likeAnArticle",""
"passed","Wed Jun 19 10:46:29 GMT 2024","Wed Jun 19 10:46:32 GMT 2024","2502","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.AuthorDetailTests","com.realworld.seleniumrealworldapp.AuthorDetailTests","displayAuthorArticles","displayAuthorArticles",""
"passed","Wed Jun 19 10:47:00 GMT 2024","Wed Jun 19 10:47:02 GMT 2024","1495","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserDetailsTests","com.realworld.seleniumrealworldapp.UserDetailsTests","displayFavoritedArticles","displayFavoritedArticles",""
"passed","Wed Jun 19 10:46:36 GMT 2024","Wed Jun 19 10:46:39 GMT 2024","3081","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","deleteArticle","deleteArticle",""
"broken","Wed Jun 19 10:47:07 GMT 2024","Wed Jun 19 10:47:17 GMT 2024","10172","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserSettingsTests","com.realworld.seleniumrealworldapp.UserSettingsTests","updateEmail","updateEmail",""
"passed","Wed Jun 19 10:46:56 GMT 2024","Wed Jun 19 10:46:58 GMT 2024","1400","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserDetailsTests","com.realworld.seleniumrealworldapp.UserDetailsTests","displayExpectedUserArticles","displayExpectedUserArticles",""
"passed","Wed Jun 19 10:46:43 GMT 2024","Wed Jun 19 10:46:44 GMT 2024","508","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.LogoutTests","com.realworld.seleniumrealworldapp.LogoutTests","logout","logout",""
"passed","Wed Jun 19 10:46:29 GMT 2024","Wed Jun 19 10:46:32 GMT 2024","3223","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","addComment","addComment",""
"passed","Wed Jun 19 10:46:43 GMT 2024","Wed Jun 19 10:46:44 GMT 2024","1106","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","followAuthor","followAuthor",""
