"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Jun 12 18:26:33 GMT 2024","Wed Jun 12 18:26:33 GMT 2024","0","spring-boot","Article details","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","deleteComment","deleteComment",""
"skipped","Wed Jun 12 18:26:34 GMT 2024","Wed Jun 12 18:26:34 GMT 2024","0","spring-boot","Article details","com.realworld.seleniumrealworldapp.UserDetailsTests","com.realworld.seleniumrealworldapp.UserDetailsTests","shouldNavigateToSettingsPage","shouldNavigateToSettingsPage",""
"skipped","Wed Jun 12 18:26:33 GMT 2024","Wed Jun 12 18:26:33 GMT 2024","0","spring-boot","Article details","com.realworld.seleniumrealworldapp.NewArticleTests","com.realworld.seleniumrealworldapp.NewArticleTests","testCreateNewArticle","testCreateNewArticle",""
"skipped","Wed Jun 12 18:26:32 GMT 2024","Wed Jun 12 18:26:32 GMT 2024","0","spring-boot","Article details","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","addComment","addComment",""
"skipped","Wed Jun 12 18:26:36 GMT 2024","Wed Jun 12 18:26:36 GMT 2024","0","spring-boot","Article details","com.realworld.seleniumrealworldapp.TagsTests","com.realworld.seleniumrealworldapp.TagsTests","filterArticlesByTag","filterArticlesByTag",""
"skipped","Wed Jun 12 18:26:32 GMT 2024","Wed Jun 12 18:26:32 GMT 2024","1","spring-boot","Article details","com.realworld.seleniumrealworldapp.AuthorDetailTests","com.realworld.seleniumrealworldapp.AuthorDetailTests","displayFavoritedArticles","displayFavoritedArticles",""
"skipped","Wed Jun 12 18:26:33 GMT 2024","Wed Jun 12 18:26:33 GMT 2024","0","spring-boot","Article details","com.realworld.seleniumrealworldapp.AuthorDetailTests","com.realworld.seleniumrealworldapp.AuthorDetailTests","followAuthor","followAuthor",""
"skipped","Wed Jun 12 18:26:32 GMT 2024","Wed Jun 12 18:26:32 GMT 2024","1","spring-boot","Article details","com.realworld.seleniumrealworldapp.AuthorDetailTests","com.realworld.seleniumrealworldapp.AuthorDetailTests","displayAuthorArticles","displayAuthorArticles",""
"skipped","Wed Jun 12 18:26:33 GMT 2024","Wed Jun 12 18:26:33 GMT 2024","1","spring-boot","Article details","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","followAuthor","followAuthor",""
"skipped","Wed Jun 12 18:26:35 GMT 2024","Wed Jun 12 18:26:35 GMT 2024","1","spring-boot","Article details","com.realworld.seleniumrealworldapp.UserSettingsTests","com.realworld.seleniumrealworldapp.UserSettingsTests","updatePassword","updatePassword",""
