"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Jun 13 09:57:55 GMT 2024","Thu Jun 13 09:57:55 GMT 2024","1","spring-boot","Article details","com.realworld.seleniumrealworldapp.UserSettingsTests","com.realworld.seleniumrealworldapp.UserSettingsTests","updateBio","updateBio",""
"broken","Thu Jun 13 09:57:55 GMT 2024","Thu Jun 13 09:57:55 GMT 2024","1","spring-boot","Article details","com.realworld.seleniumrealworldapp.UserDetailsTests","com.realworld.seleniumrealworldapp.UserDetailsTests","springTestContextPrepareTestInstance","springTestContextPrepareTestInstance",""
"skipped","Thu Jun 13 09:57:55 GMT 2024","Thu Jun 13 09:57:55 GMT 2024","1","spring-boot","Article details","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","followAuthor","followAuthor",""
"broken","Thu Jun 13 09:57:55 GMT 2024","Thu Jun 13 09:57:55 GMT 2024","1","spring-boot","Article details","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","setUp","setUp",""
"broken","Thu Jun 13 09:57:55 GMT 2024","Thu Jun 13 09:57:55 GMT 2024","0","spring-boot","Article details","com.realworld.seleniumrealworldapp.TagsTests","com.realworld.seleniumrealworldapp.TagsTests","springTestContextBeforeTestMethod","springTestContextBeforeTestMethod",""
"skipped","Thu Jun 13 09:57:55 GMT 2024","Thu Jun 13 09:57:55 GMT 2024","0","spring-boot","Article details","com.realworld.seleniumrealworldapp.TagsTests","com.realworld.seleniumrealworldapp.TagsTests","displayPopularTags","displayPopularTags",""
"broken","Thu Jun 13 09:57:55 GMT 2024","Thu Jun 13 09:57:55 GMT 2024","0","spring-boot","Article details","com.realworld.seleniumrealworldapp.UserDetailsTests","com.realworld.seleniumrealworldapp.UserDetailsTests","springTestContextBeforeTestMethod","springTestContextBeforeTestMethod",""
"broken","Thu Jun 13 09:57:55 GMT 2024","Thu Jun 13 09:57:55 GMT 2024","0","spring-boot","Article details","com.realworld.seleniumrealworldapp.UserSettingsTests","com.realworld.seleniumrealworldapp.UserSettingsTests","springTestContextPrepareTestInstance","springTestContextPrepareTestInstance",""
"skipped","Thu Jun 13 09:57:55 GMT 2024","Thu Jun 13 09:57:55 GMT 2024","0","spring-boot","Article details","com.realworld.seleniumrealworldapp.UserSettingsTests","com.realworld.seleniumrealworldapp.UserSettingsTests","updateUsername","updateUsername",""
"skipped","Thu Jun 13 09:57:55 GMT 2024","Thu Jun 13 09:57:55 GMT 2024","0","spring-boot","Article details","com.realworld.seleniumrealworldapp.UserSettingsTests","com.realworld.seleniumrealworldapp.UserSettingsTests","updateEmail","updateEmail",""
"skipped","Thu Jun 13 09:57:55 GMT 2024","Thu Jun 13 09:57:55 GMT 2024","0","spring-boot","Article details","com.realworld.seleniumrealworldapp.LogoutTests","com.realworld.seleniumrealworldapp.LogoutTests","logout","logout",""
"skipped","Thu Jun 13 09:57:55 GMT 2024","Thu Jun 13 09:57:55 GMT 2024","0","spring-boot","Article details","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","deleteArticle","deleteArticle",""
"skipped","Thu Jun 13 09:57:55 GMT 2024","Thu Jun 13 09:57:55 GMT 2024","1","spring-boot","Article details","com.realworld.seleniumrealworldapp.UserDetailsTests","com.realworld.seleniumrealworldapp.UserDetailsTests","displayExpectedUserArticles","displayExpectedUserArticles",""
"skipped","Thu Jun 13 09:57:55 GMT 2024","Thu Jun 13 09:57:55 GMT 2024","0","spring-boot","Article details","com.realworld.seleniumrealworldapp.UserSettingsTests","com.realworld.seleniumrealworldapp.UserSettingsTests","updatePassword","updatePassword",""
"broken","Thu Jun 13 09:57:55 GMT 2024","Thu Jun 13 09:57:55 GMT 2024","0","spring-boot","Article details","com.realworld.seleniumrealworldapp.UserSettingsTests","com.realworld.seleniumrealworldapp.UserSettingsTests","springTestContextBeforeTestMethod","springTestContextBeforeTestMethod",""
"skipped","Thu Jun 13 09:57:55 GMT 2024","Thu Jun 13 09:57:55 GMT 2024","0","spring-boot","Article details","com.realworld.seleniumrealworldapp.UserSettingsTests","com.realworld.seleniumrealworldapp.UserSettingsTests","updateProfilePicture","updateProfilePicture",""
"broken","Thu Jun 13 09:57:55 GMT 2024","Thu Jun 13 09:57:55 GMT 2024","1","spring-boot","Article details","com.realworld.seleniumrealworldapp.TagsTests","com.realworld.seleniumrealworldapp.TagsTests","springTestContextPrepareTestInstance","springTestContextPrepareTestInstance",""
"skipped","Thu Jun 13 09:57:55 GMT 2024","Thu Jun 13 09:57:55 GMT 2024","0","spring-boot","Article details","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","addComment","addComment",""
"skipped","Thu Jun 13 09:57:55 GMT 2024","Thu Jun 13 09:57:55 GMT 2024","1","spring-boot","Article details","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","likeArticle","likeArticle",""
"broken","Thu Jun 13 09:57:55 GMT 2024","Thu Jun 13 09:57:55 GMT 2024","0","spring-boot","Article details","com.realworld.seleniumrealworldapp.LogoutTests","com.realworld.seleniumrealworldapp.LogoutTests","setUp","setUp",""
"skipped","Thu Jun 13 09:57:55 GMT 2024","Thu Jun 13 09:57:55 GMT 2024","1","spring-boot","Article details","com.realworld.seleniumrealworldapp.TagsTests","com.realworld.seleniumrealworldapp.TagsTests","filterArticlesByTag","filterArticlesByTag",""
"skipped","Thu Jun 13 09:57:55 GMT 2024","Thu Jun 13 09:57:55 GMT 2024","0","spring-boot","Article details","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","deleteComment","deleteComment",""
