"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Jun 25 21:10:38 GMT 2024","Tue Jun 25 21:10:38 GMT 2024","2","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","addComment","addComment",""
"skipped","Tue Jun 25 21:10:38 GMT 2024","Tue Jun 25 21:10:38 GMT 2024","1","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","followAuthor","followAuthor",""
"skipped","Tue Jun 25 21:10:38 GMT 2024","Tue Jun 25 21:10:38 GMT 2024","1","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","deleteArticle","deleteArticle",""
"broken","Tue Jun 25 21:10:38 GMT 2024","Tue Jun 25 21:10:38 GMT 2024","1","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.AuthorDetailTests","com.realworld.seleniumrealworldapp.AuthorDetailTests","springTestContextPrepareTestInstance","springTestContextPrepareTestInstance",""
"skipped","Tue Jun 25 21:10:38 GMT 2024","Tue Jun 25 21:10:38 GMT 2024","1","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","deleteComment","deleteComment",""
"skipped","Tue Jun 25 21:10:38 GMT 2024","Tue Jun 25 21:10:38 GMT 2024","1","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.AuthorDetailTests","com.realworld.seleniumrealworldapp.AuthorDetailTests","followAuthor","followAuthor",""
"broken","Tue Jun 25 21:10:36 GMT 2024","Tue Jun 25 21:10:36 GMT 2024","2","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","springTestContextPrepareTestInstance","springTestContextPrepareTestInstance",""
"skipped","Tue Jun 25 21:10:38 GMT 2024","Tue Jun 25 21:10:38 GMT 2024","0","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","likeArticle","likeArticle",""
"skipped","Tue Jun 25 21:10:38 GMT 2024","Tue Jun 25 21:10:38 GMT 2024","0","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.AuthorDetailTests","com.realworld.seleniumrealworldapp.AuthorDetailTests","displayAuthorArticles","displayAuthorArticles",""
"skipped","Tue Jun 25 21:10:38 GMT 2024","Tue Jun 25 21:10:38 GMT 2024","0","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.AuthorDetailTests","com.realworld.seleniumrealworldapp.AuthorDetailTests","displayFavoritedArticles","displayFavoritedArticles",""
