"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 23 11:48:13 GMT 2024","Sun Jun 23 11:48:14 GMT 2024","607","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","likeArticle","likeArticle",""
"passed","Sun Jun 23 11:48:25 GMT 2024","Sun Jun 23 11:48:25 GMT 2024","668","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.SignUpTests","com.realworld.seleniumrealworldapp.SignUpTests","registerValidNewUser","registerValidNewUser",""
"passed","Sun Jun 23 11:48:17 GMT 2024","Sun Jun 23 11:48:18 GMT 2024","761","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.GlobalFeedTests","com.realworld.seleniumrealworldapp.GlobalFeedTests","displayExpectedArticles","displayExpectedArticles",""
"passed","Sun Jun 23 11:48:24 GMT 2024","Sun Jun 23 11:48:24 GMT 2024","369","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserSettingsTests","com.realworld.seleniumrealworldapp.UserSettingsTests","updateEmail","updateEmail",""
"passed","Sun Jun 23 11:48:29 GMT 2024","Sun Jun 23 11:48:31 GMT 2024","1266","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserDetailsTests","com.realworld.seleniumrealworldapp.UserDetailsTests","displayExpectedUserArticles","displayExpectedUserArticles",""
"passed","Sun Jun 23 11:48:22 GMT 2024","Sun Jun 23 11:48:23 GMT 2024","1335","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.TagsTests","com.realworld.seleniumrealworldapp.TagsTests","filterArticlesByTag","filterArticlesByTag",""
"passed","Sun Jun 23 11:48:05 GMT 2024","Sun Jun 23 11:48:08 GMT 2024","2675","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","deleteArticle","deleteArticle",""
"passed","Sun Jun 23 11:48:21 GMT 2024","Sun Jun 23 11:48:22 GMT 2024","598","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.AuthorDetailTests","com.realworld.seleniumrealworldapp.AuthorDetailTests","followAuthor","followAuthor",""
"passed","Sun Jun 23 11:48:22 GMT 2024","Sun Jun 23 11:48:23 GMT 2024","303","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.LogoutTests","com.realworld.seleniumrealworldapp.LogoutTests","logout","logout",""
"passed","Sun Jun 23 11:48:25 GMT 2024","Sun Jun 23 11:48:26 GMT 2024","1435","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.NewArticleTests","com.realworld.seleniumrealworldapp.NewArticleTests","testCreateNewArticle","testCreateNewArticle",""
"passed","Sun Jun 23 11:48:35 GMT 2024","Sun Jun 23 11:48:35 GMT 2024","251","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserDetailsTests","com.realworld.seleniumrealworldapp.UserDetailsTests","shouldNavigateToSettingsPage","shouldNavigateToSettingsPage",""
"passed","Sun Jun 23 11:48:02 GMT 2024","Sun Jun 23 11:48:04 GMT 2024","1735","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","addComment","addComment",""
"passed","Sun Jun 23 11:48:09 GMT 2024","Sun Jun 23 11:48:10 GMT 2024","1172","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","deleteComment","deleteComment",""
"passed","Sun Jun 23 11:48:27 GMT 2024","Sun Jun 23 11:48:27 GMT 2024","386","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserSettingsTests","com.realworld.seleniumrealworldapp.UserSettingsTests","updatePassword","updatePassword",""
"passed","Sun Jun 23 11:48:32 GMT 2024","Sun Jun 23 11:48:33 GMT 2024","250","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserSettingsTests","com.realworld.seleniumrealworldapp.UserSettingsTests","updateUsername","updateUsername",""
"passed","Sun Jun 23 11:48:19 GMT 2024","Sun Jun 23 11:48:20 GMT 2024","438","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.TagsTests","com.realworld.seleniumrealworldapp.TagsTests","displayPopularTags","displayPopularTags",""
"passed","Sun Jun 23 11:48:11 GMT 2024","Sun Jun 23 11:48:12 GMT 2024","610","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","followAuthor","followAuthor",""
"passed","Sun Jun 23 11:48:16 GMT 2024","Sun Jun 23 11:48:17 GMT 2024","628","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.AuthorDetailTests","com.realworld.seleniumrealworldapp.AuthorDetailTests","displayAuthorArticles","displayAuthorArticles",""
"passed","Sun Jun 23 11:48:20 GMT 2024","Sun Jun 23 11:48:21 GMT 2024","260","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserSettingsTests","com.realworld.seleniumrealworldapp.UserSettingsTests","updateBio","updateBio",""
"passed","Sun Jun 23 11:48:30 GMT 2024","Sun Jun 23 11:48:30 GMT 2024","255","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserSettingsTests","com.realworld.seleniumrealworldapp.UserSettingsTests","updateProfilePicture","updateProfilePicture",""
"passed","Sun Jun 23 11:48:28 GMT 2024","Sun Jun 23 11:48:30 GMT 2024","1548","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.NewArticleTests","com.realworld.seleniumrealworldapp.NewArticleTests","updateArticle","updateArticle",""
"passed","Sun Jun 23 11:48:16 GMT 2024","Sun Jun 23 11:48:17 GMT 2024","1331","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserSettingsTests","com.realworld.seleniumrealworldapp.UserSettingsTests","updateAllFields","updateAllFields",""
"passed","Sun Jun 23 11:48:20 GMT 2024","Sun Jun 23 11:48:21 GMT 2024","907","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.GlobalFeedTests","com.realworld.seleniumrealworldapp.GlobalFeedTests","likeAnArticle","likeAnArticle",""
"passed","Sun Jun 23 11:48:27 GMT 2024","Sun Jun 23 11:48:28 GMT 2024","403","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.SignUpTests","com.realworld.seleniumrealworldapp.SignUpTests","registerWithExistingEmail","registerWithExistingEmail",""
"passed","Sun Jun 23 11:48:32 GMT 2024","Sun Jun 23 11:48:34 GMT 2024","1205","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.UserDetailsTests","com.realworld.seleniumrealworldapp.UserDetailsTests","displayFavoritedArticles","displayFavoritedArticles",""
"passed","Sun Jun 23 11:48:19 GMT 2024","Sun Jun 23 11:48:19 GMT 2024","845","Selenium E2E tests","Selenium E2E tests","com.realworld.seleniumrealworldapp.AuthorDetailTests","com.realworld.seleniumrealworldapp.AuthorDetailTests","displayFavoritedArticles","displayFavoritedArticles",""
