"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jun 12 18:58:01 GMT 2024","Wed Jun 12 18:58:01 GMT 2024","0","spring-boot","Article details","com.realworld.seleniumrealworldapp.UserSettingsTests","com.realworld.seleniumrealworldapp.UserSettingsTests","setUp","setUp",""
"skipped","Wed Jun 12 18:58:00 GMT 2024","Wed Jun 12 18:58:00 GMT 2024","0","spring-boot","Article details","com.realworld.seleniumrealworldapp.LogoutTests","com.realworld.seleniumrealworldapp.LogoutTests","logout","logout",""
"broken","Wed Jun 12 18:57:59 GMT 2024","Wed Jun 12 18:57:59 GMT 2024","5","spring-boot","Article details","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","setUp","setUp",""
"broken","Wed Jun 12 18:58:00 GMT 2024","Wed Jun 12 18:58:00 GMT 2024","0","spring-boot","Article details","com.realworld.seleniumrealworldapp.NewArticleTests","com.realworld.seleniumrealworldapp.NewArticleTests","setUp","setUp",""
"skipped","Wed Jun 12 18:57:59 GMT 2024","Wed Jun 12 18:57:59 GMT 2024","1","spring-boot","Article details","com.realworld.seleniumrealworldapp.AuthorDetailTests","com.realworld.seleniumrealworldapp.AuthorDetailTests","displayAuthorArticles","displayAuthorArticles",""
"skipped","Wed Jun 12 18:57:59 GMT 2024","Wed Jun 12 18:57:59 GMT 2024","1","spring-boot","Article details","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","addComment","addComment",""
"skipped","Wed Jun 12 18:57:59 GMT 2024","Wed Jun 12 18:57:59 GMT 2024","1","spring-boot","Article details","com.realworld.seleniumrealworldapp.ArticleDetailTests","com.realworld.seleniumrealworldapp.ArticleDetailTests","likeArticle","likeArticle",""
"skipped","Wed Jun 12 18:58:03 GMT 2024","Wed Jun 12 18:58:03 GMT 2024","0","spring-boot","Article details","com.realworld.seleniumrealworldapp.TagsTests","com.realworld.seleniumrealworldapp.TagsTests","filterArticlesByTag","filterArticlesByTag",""
"skipped","Wed Jun 12 18:58:01 GMT 2024","Wed Jun 12 18:58:01 GMT 2024","0","spring-boot","Article details","com.realworld.seleniumrealworldapp.UserDetailsTests","com.realworld.seleniumrealworldapp.UserDetailsTests","displayFavoritedArticles","displayFavoritedArticles",""
"skipped","Wed Jun 12 18:58:00 GMT 2024","Wed Jun 12 18:58:00 GMT 2024","0","spring-boot","Article details","com.realworld.seleniumrealworldapp.SignUpTests","com.realworld.seleniumrealworldapp.SignUpTests","registerWithExistingEmail","registerWithExistingEmail",""
